,Store,Category,Item Type,Name (on Website),Gender,Price
111,OshKosh B'gosh,Kids,Baby Shoes,Oshkosh Leopard Print Crib Boots,F,14.0
112,OshKosh B'gosh,Kids,Baby Shoes,Oshkosh Faux Fur Crib Boots,M,14.0
113,OshKosh B'gosh,Kids,Baby Sweaters,Marled Cardi,F,22.0
114,OshKosh B'gosh,Kids,Baby Sweaters,Marled Shawl Collar Cardigan,M,19.0
115,OshKosh B'gosh,Kids,Baby Sweaters,Ski Lodge Sweater,F,25.0
116,OshKosh B'gosh,Kids,Baby Sweaters,Ski Lodge Pullover Sweater,M,24.0
117,OshKosh B'gosh,Kids,Children's Jeans,Oshkosh Skinny Jeans-Maritime Blue Wash,F,8.0
118,OshKosh B'gosh,Kids,Children's Jeans,Skinny Jeans - Indigo Bright,M,12.0
119,OshKosh B'gosh,Kids,Children's Jeans,Straight Jeans - Mellow Medium,M,12.0
120,OshKosh B'gosh,Kids,Children's Shirts,Embroidered Top,F,13.0
121,OshKosh B'gosh,Kids,Children's Shirts,Striped Henley,M,13.0
122,OshKosh B'gosh,Kids,Children's Shirts,Oshkosh Originals Graphic Tee,F,6.0
123,OshKosh B'gosh,Kids,Children's Shirts,Oshkosh Originals Graphic Tee,M,6.0
124,OshKosh B'gosh,Kids,"Children's
Underwear",3-Pack Stretch Cotton Panties,F,14.0
125,OshKosh B'gosh,Kids,"Children's
Underwear",3-Pack Cotton Briefs,M,14.0
126,OshKosh B'gosh,Kids,"Children's
Underwear",7-Pack Everyday Panties,F,26.0
127,OshKosh B'gosh,Kids,"Children's
Underwear",6-Pack Cotton Briefs,M,26.0
128,OshKosh B'gosh,Kids,Onesie,Sparkle Henley Bodysuit,F,8.0
129,OshKosh B'gosh,Kids,Onesie,Varsity Henley Bodysuit,M,8.0
130,OshKosh B'gosh,Kids,Onesie,Floral Poplin Bodysuit,F,10.0
131,OshKosh B'gosh,Kids,Onesie,Plaid Poplin Bodysuit,M,10.0
132,OshKosh B'gosh,Kids,Toddler Shoes,Oshkosh Athletic Sneakers,F,40.0
133,OshKosh B'gosh,Kids,Toddler Shoes,Oshkosh Athletic Sneakers,M,40.0
134,"The Children's
Place",Kids,Baby Jeans,Basic Jeans,F,14.95
135,"The Children's
Place",Kids,Baby Jeans,Basic Jeans,M,14.95
136,"The Children's
Place",Kids,Baby Jeans,Basic Leggings,F,9.5
137,"The Children's
Place",Kids,Baby Jeans,Knit Cargo Pants,M,9.5
138,"The Children's
Place",Kids,Baby Shirts,"Long Sleeve 'Mommy's Night Owl' Little
Talker Bodysuit",F,9.5
139,"The Children's
Place",Kids,Baby Shirts,"Long Sleeve 'Naps, Hugs And Rock 'N' Roll'
Little Talker Bodysuit",M,9.5
140,"The Children's
Place",Kids,Baby Shirts,"I'm The Cutest Of Them All' Little Talker
Bodysuit",F,9.5
141,"The Children's
Place",Kids,Baby Shirts,"I Love My Mommy' Monster Little Talker
Bodysuit",M,9.5
142,"The Children's
Place",Kids,Baby Shoes,Low-Top Shoe,F,14.95
143,"The Children's
Place",Kids,Baby Sweaters,Long Sleeve Graphic Crew Neck Pullover,F,19.95
144,"The Children's
Place",Kids,Baby Sweaters,"Long Sleeve Raglan Sleeve Crew Neck
Sweater",M,19.95
145,"The Children's
Place",Kids,Baby Sweaters,Uniform Button-Front Crew-Neck Cardigan,M,19.95
146,"The Children's
Place",Kids,Baby Sweaters,Long Sleeve V-Neck Sweater,M,17.95
147,"The Children's
Place",Kids,Children's Jeans,Skinny Jeans - China Blue,F,19.5
148,"The Children's
Place",Kids,Children's Jeans,Skinny Jeans - Retro Vintage,M,19.5
149,"The Children's
Place",Kids,Children's Jeans,Bootcut Jeans - Merida,F,19.5
