,Store,Category,Item Type,Name (on Website),Gender,Price
674,Rite Aid,Beauty,"Razor
Cartridges","Quattro for Women Cartridges, Ultra
Smooth, 4 cartridges",F,14.79
675,Rite Aid,Beauty,"Razor
Cartridges","Hydro Silk Razor Cartridges, 4
cartridges",F,19.99
676,Rite Aid,Beauty,"Shaving
Cream","Shave Gel, Sensitive Skin with Aloe,
Value Size 7 oz.",M,4.98
677,Rite Aid,Beauty,"Shaving
Cream","Shave Gel, Sensitive, with Shea
Butter 7 oz (198 g)",F,3.99
678,Rite Aid,Beauty,"Shaving
Cream","Hydra Gel, Ultra Sensitive 7 oz (198 g)",M,5.29
679,Rite Aid,Beauty,"Shaving
Cream","Renewal Shave Gel, Moisturizing,
Baby Soft with Baby Oil, 7 oz (198 g)",F,2.59
680,Rite Aid,Beauty,"Shaving
Cream","Renewal Shave Gel, for Men,
Sensitive Skin, 7 oz (198 g)",M,2.59
681,Rite Aid,Beauty,"Shaving
Cream","Skin Therapy Shave Cream,
Moisturizing, Sensitive Skin, 10 oz
(283 g)",F,3.49
682,"Walgreens/
Duane Reade",Beauty,Body Wash,"Body Wash Omega Moisture Sea
Berries",F,5.09
683,"Walgreens/
Duane Reade",Beauty,Body Wash,"Dial for Men Body Wash Fresh
Reaction Alpine",M,5.09
684,"Walgreens/
Duane Reade",Beauty,Body Wash,Nourishing Body Wash,F,5.67
685,"Walgreens/
Duane Reade",Beauty,Body Wash,Men+Care Body Wash Clean Comfort,M,4.99
686,"Walgreens/
Duane Reade",Beauty,Body Wash,Body Wash Jojoba Oil & Coconut,F,5.49
687,"Walgreens/
Duane Reade",Beauty,Body Wash,Men 3 in 1 Body Wash Energy,M,4.99
688,"Walgreens/
Duane Reade",Beauty,Deodorant,"Dry Protection Anti-Perspirant &
Deodorant Shower Clean",F,3.43
689,"Walgreens/
Duane Reade",Beauty,Deodorant,"Men Dry Protection Antiperspirant &
Deodorant Sport",M,3.29
690,"Walgreens/
Duane Reade",Beauty,Deodorant,"go fresh Anti-Perspirant Deodorant
Cool Essentials",F,5.18
691,"Walgreens/
Duane Reade",Beauty,Deodorant,"Men+Care Antiperspirant &
Deodorant Extra Fresh",M,4.99
693,Walgreens/,Beauty,Deodorant,Anti-Perspirant & Deodorant Powder,F,3.99
696,"Walgreens/
Duane Reade",Beauty,Deodorant,"Advanced Gel Anti-Perspirant &
Deodorant Sport",M,3.99
697,"Walgreens/
Duane Reade",Beauty,Hair Care,"2 in 1 Moisturizing Shampoo +
Conditioner",F,1.99
698,"Walgreens/
Duane Reade",Beauty,Hair Care,"Mens 3-IN-1 Shampoo, Conditioner
& Body Wash Ocean Surge",M,1.29
701,"Walgreens/
Duane Reade",Beauty,Hair Care,"Aussome Volume 2-in-1 Shampoo (&
Conditioner)",F,8.38
702,"Walgreens/
Duane Reade",Beauty,Hair Care,"Men Daily Clean 2-In-1 Shampoo +
Conditioner",M,3.79
703,"Walgreens/
Duane Reade",Beauty,Hair Care,"Smooth & Silky 2 in 1 Dandruff
Shampoo + Conditioner",F,8.29
704,"Walgreens/
Duane Reade",Beauty,Hair Care,"Men Total Care All-in-1 Dandruff
Shampoo + Conditioner",M,8.29
705,"Walgreens/
Duane Reade",Beauty,Hair Care,"Performance Series 2 in 1 Plus
Shampoo & Conditioner, For All Hair
Types",F,4.48
706,"Walgreens/
Duane Reade",Beauty,Hair Care,"Professionals Men 2-in-1 Shampoo
and Conditioner",M,3.99
707,"Walgreens/
Duane Reade",Beauty,Lotion,"7 Day Moisturizing Lotion, Extra Dry
Skin",F,6.79
708,"Walgreens/
Duane Reade",Beauty,Lotion,"Dial For Men NutriSkin Body & Hand
Lotion Ultra Hydrating",M,6.79
709,"Walgreens/
Duane Reade",Beauty,Lotion,"Intensive Rescue Intensive Care
Advanced Repair Non-Greasy Lotion
Fragrance Free",F,4.19
710,"Walgreens/
Duane Reade",Beauty,Lotion,"Men Healing Moisture Non-Greasy
Body & Face Lotion Extra Strength",M,4.19
711,"Walgreens/
Duane Reade",Beauty,Razor,BiC Comfort 3 Shavers for Women,F,3.99
712,"Walgreens/
Duane Reade",Beauty,Razor,BiC Comfort 3 Pivot Shavers,M,3.99
713,"Walgreens/
Duane Reade",Beauty,Razor,"Venus Swirl Women's Razor Handle
with 2 Blade Refills",F,13.99
714,"Walgreens/
Duane Reade",Beauty,Razor,"Fusion ProGlide SilverTouch Razor
with FlexBall Handle Technology & 2
Razor Blade Refills",M,13.79
715,"Walgreens/
Duane Reade",Beauty,Razor,Quattro For Women Razor,F,10.49
716,"Walgreens/
Duane Reade",Beauty,Razor,Quattro Titanium Razor,M,9.99
717,"Walgreens/
Duane Reade",Beauty,Razor,Beauty Disposable Five-Blade Razors,F,5.99
718,"Walgreens/
Duane Reade",Beauty,Razor,Men's Disposable Five-Blade Razors,M,5.49
719,"Walgreens/
Duane Reade",Beauty,"Razor
Cartridges",Venus Divine Cartridges,F,25.99
720,"Walgreens/
Duane Reade",Beauty,"Razor
Cartridges",MACH3 Cartridges,M,23.99
721,"Walgreens/
Duane Reade",Beauty,"Razor
Cartridges",Hydro Silk for Women Cartridges,F,18.49
722,"Walgreens/
Duane Reade",Beauty,"Razor
Cartridges",Hydro 5 Cartridge Razor Refills,M,14.99
723,"Walgreens/
Duane Reade",Beauty,"Razor
Cartridges","Quattro For Women Razor Cartridge
Refill",F,14.49
726,"Walgreens/
Duane Reade",Beauty,"Razor
Cartridges",Quattro Titanium Razor Cartridges,M,12.99
727,"Walgreens/
Duane Reade",Beauty,"Shaving
Cream",Shave Gel Soothing Aloe,M,3.29
728,"Walgreens/
Duane Reade",Beauty,"Shaving
Cream","Venus with a Touch of Olay, Shave
Gel Sugarberry Bliss",F,3.49
729,"Walgreens/
Duane Reade",Beauty,"Shaving
Cream",Series Shave Gel,M,2.89
730,"Walgreens/
Duane Reade",Beauty,"Shaving
Cream",Moisture Shave Lavender Shea,F,7.57
731,"Walgreens/
Duane Reade",Beauty,"Shaving
Cream",Natural Man Aqua 4 in 1 Shave Aqua,M,5.99
732,"Walgreens/
Duane Reade",Beauty,"Shaving
Cream","SignatureScents Moisturizing Shave
Gel Raspberry Rain",F,3.29
733,"Walgreens/
Duane Reade",Beauty,"Shaving
Cream",Dry Skin Ladies Shave Gel,F,3.29
734,"Walgreens/
Duane Reade",Beauty,"Shaving
Cream",Sensitive Skin Men's Shave Gel,M,3.29
